,Movie Name,Year of Release,Watch Time,Movie Rating,Metascore of Movies,Votes,Gross
202,Contratiempo,2016,106,8.1,^^,"155,614",^^
203,Ah-ga-ssi,2016,145,8.1,84,"123,076",$2.01M
204,Mommy,I 2014,139,8.1,74,"52,689",$3.49M
205,Haider,2014,160,8.1,^^,"51,570",$0.90M
206,Logan,2017,137,8.1,77,"673,040",$226.28M
207,Room,I 2015,118,8.1,86,"385,468",$14.68M
208,Relatos salvajes,2014,122,8.1,77,"183,563",$3.11M
209,Soul,2020,100,8.1,83,"260,033",^^
210,Kis Uykusu,2014,196,8.1,88,"48,391",$0.17M
211,PK,2014,153,8.1,^^,"168,945",$10.62M
212,OMG: Oh My God!,2012,125,8.1,^^,"53,741",$0.92M
213,The Grand Budapest Hotel,2014,99,8.1,88,"732,701",$59.10M
214,Gone Girl,2014,149,8.1,79,"891,254",$167.77M
215,Ôkami kodomo no Ame to Yuki,2012,117,8.1,71,"40,566",^^
216,Hacksaw Ridge,2016,139,8.1,71,"456,334",$67.21M
217,Inside Out,I 2015,95,8.1,94,"640,214",$356.46M
218,Barfi!,2012,151,8.1,^^,"77,662",$2.80M
219,12 Years a Slave,2013,134,8.1,96,"656,502",$56.67M
220,Rush,I 2013,123,8.1,74,"445,893",$26.95M
221,Ford v Ferrari,2019,152,8.1,81,"321,324",$117.62M
222,Spotlight,I 2015,129,8.1,93,"434,214",$45.06M
223,Song of the Sea,2014,93,8.1,85,"54,076",$0.86M
224,Kahaani,2012,122,8.1,^^,"59,329",$1.04M
225,Prisoners,2013,153,8.1,70,"623,788",$61.00M
226,Mad Max: Fury Road,2015,120,8.1,90,"910,764",$154.06M
227,Warrior,2011,140,8.1,71,"444,653",$13.66M
228,A Wednesday,2008,104,8.1,^^,"75,313",^^
229,Zack Snyder's Justice League,2021,242,8.1,54,"311,570",^^
230,Gran Torino,2008,116,8.1,72,"733,490",$148.10M
231,Harry Potter and the Deathly Hallows: Part 2,2011,130,8.1,85,"789,197",$381.01M
232,Okuribito,2008,130,8.1,68,"49,526",$1.50M
233,Hachi: A Dog's Tale,2009,93,8.1,^^,"262,132",^^
234,Mary and Max.,2009,92,8.1,^^,"168,028",^^
235,How to Train Your Dragon,2010,98,8.1,75,"683,703",$217.58M
236,Into the Wild,2007,148,8.1,73,"587,111",$18.35M
237,No Country for Old Men,2007,122,8.1,91,"884,966",$74.28M
238,V for Vendetta,2005,132,8.1,62,"1,054,132",$70.51M
239,Dare mo shiranai,2004,141,8.1,88,"25,751",$0.68M
240,Rang De Basanti,2006,167,8.1,^^,"114,763",$2.20M
241,Million Dollar Baby,2004,132,8.1,86,"649,574",$100.49M
242,Hotel Rwanda,2004,121,8.1,79,"339,974",$23.53M
243,Before Sunset,2004,80,8.1,90,"243,701",$5.82M
244,Munna Bhai M.B.B.S.,2003,156,8.1,^^,"76,165",^^
245,Salinui chueok,2003,131,8.1,82,"151,472",$0.01M
246,Dil Chahta Hai,2001,183,8.1,^^,"68,415",$0.30M
247,Kill Bill: Vol. 1,2003,111,8.1,69,"1,027,374",$70.10M
248,Finding Nemo,2003,100,8.1,90,"970,880",$380.84M
249,Catch Me If You Can,2002,141,8.1,75,"864,930",$164.62M
250,Amores perros,2000,154,8.1,83,"228,031",$5.38M
251,"Monsters, Inc.",2001,92,8.1,79,"836,695",$289.92M
252,"Shin seiki Evangelion Gekijô-ban: Air/Magokoro wo, kimi ni",1997,87,8.1,^^,"43,066",^^
253,Lagaan: Once Upon a Time in India,2001,224,8.1,84,"107,609",$0.07M
254,The Sixth Sense,1999,107,8.1,64,"929,500",$293.51M
255,Festen,1998,105,8.1,82,"80,699",$1.65M
256,La leggenda del pianista sull'oceano,1998,169,8.1,58,"60,436",$0.26M
257,The Truman Show,1998,103,8.1,90,"970,842",$125.62M
258,"Crna macka, beli macor",1998,127,8.1,73,"51,781",$0.35M
